"Дата","Price","Откр.","Макс.","Мин.","Объём","Per"
"24 нояб. 2021 г.","161,94","160,75","162,14","159,64","69,46M","0,33%"
"23 нояб. 2021 г.","161,41","161,12","161,80","159,06","96,04M","0,24%"
"22 нояб. 2021 г.","161,02","161,68","165,70","161,00","117,47M","0,29%"
"19 нояб. 2021 г.","160,55","157,65","161,02","156,53","117,31M","1,70%"
"18 нояб. 2021 г.","157,87","153,71","158,67","153,05","137,83M","2,85%"
"17 нояб. 2021 г.","153,49","151,00","155,00","150,99","88,81M","1,65%"
"16 нояб. 2021 г.","151,00","149,94","151,49","149,34","59,26M","0,67%"
"15 нояб. 2021 г.","150,00","150,37","151,88","149,43","59,22M","0,01%"
"12 нояб. 2021 г.","149,99","148,43","150,40","147,48","63,80M","1,43%"
"11 нояб. 2021 г.","147,87","148,96","149,43","147,68","41,00M","-0,03%"
"10 нояб. 2021 г.","147,92","150,02","150,13","147,85","65,19M","-1,92%"
"09 нояб. 2021 г.","150,81","150,20","151,43","150,06","56,79M","0,25%"
"08 нояб. 2021 г.","150,44","151,41","151,57","150,16","55,02M","-0,56%"
"05 нояб. 2021 г.","151,28","151,89","152,20","150,06","65,46M","0,21%"
"04 нояб. 2021 г.","150,96","151,58","152,43","150,64","60,39M","-0,35%"
"03 нояб. 2021 г.","151,49","150,39","151,97","149,82","54,51M","0,98%"
"02 нояб. 2021 г.","150,02","148,66","151,57","148,65","69,12M","0,71%"
"01 нояб. 2021 г.","148,96","148,99","149,70","147,80","74,59M","-0,56%"
"29 окт. 2021 г.","149,80","147,22","149,94","146,41","124,95M","-1,82%"
"28 окт. 2021 г.","152,57","149,82","153,16","149,72","100,08M","2,50%"
"27 окт. 2021 г.","148,85","149,36","149,73","148,49","56,09M","-0,31%"
"26 окт. 2021 г.","149,32","149,33","150,84","149,01","60,89M","0,46%"
"25 окт. 2021 г.","148,64","148,68","149,37","147,62","50,72M","-0,03%"
"22 окт. 2021 г.","148,69","149,69","150,18","148,64","58,88M","-0,53%"
"21 окт. 2021 г.","149,48","148,81","149,64","147,87","61,42M","0,15%"
"20 окт. 2021 г.","149,26","148,70","149,75","148,12","58,42M","0,34%"
"19 окт. 2021 г.","148,76","147,01","149,17","146,55","76,38M","1,51%"
"18 окт. 2021 г.","146,55","143,44","146,84","143,16","85,59M","1,18%"
"15 окт. 2021 г.","144,84","143,77","144,90","143,51","67,94M","0,75%"
"14 окт. 2021 г.","143,76","142,11","143,88","141,51","69,91M","2,02%"
"13 окт. 2021 г.","140,91","141,24","141,40","139,20","78,76M","-0,42%"
"12 окт. 2021 г.","141,51","143,23","143,25","141,04","73,04M","-0,91%"
"11 окт. 2021 г.","142,81","142,27","144,81","141,81","64,45M","-0,06%"
"08 окт. 2021 г.","142,90","144,03","144,18","142,56","58,77M","-0,27%"
"07 окт. 2021 г.","143,29","143,06","144,22","142,72","61,73M","0,91%"
"06 окт. 2021 г.","142,00","139,47","142,15","138,37","83,22M","0,63%"
"05 окт. 2021 г.","141,11","139,49","142,24","139,36","80,86M","1,42%"
"04 окт. 2021 г.","139,14","141,76","142,21","138,27","98,32M","-2,46%"
"01 окт. 2021 г.","142,65","141,90","142,92","139,11","94,64M","0,81%"
"30 сент. 2021 г.","141,50","143,66","144,38","141,28","89,06M","-0,93%"
"29 сент. 2021 г.","142,83","142,47","144,45","142,03","74,60M","0,65%"
"28 сент. 2021 г.","141,91","143,25","144,75","141,69","108,97M","-2,38%"
"27 сент. 2021 г.","145,37","145,47","145,96","143,82","74,15M","-1,05%"
"24 сент. 2021 г.","146,92","145,66","147,47","145,56","53,48M","0,06%"
"23 сент. 2021 г.","146,83","146,65","147,08","145,64","64,84M","0,67%"
"22 сент. 2021 г.","145,85","144,45","146,43","143,70","76,40M","1,69%"
"21 сент. 2021 г.","143,43","143,93","144,60","142,78","75,83M","0,34%"
"20 сент. 2021 г.","142,94","143,80","144,84","141,27","123,48M","-2,14%"
"17 сент. 2021 г.","146,06","148,82","148,82","145,76","129,87M","-1,83%"
"16 сент. 2021 г.","148,79","148,44","148,97","147,22","68,03M","-0,16%"
"15 сент. 2021 г.","149,03","148,56","149,44","146,37","83,28M","0,61%"
"14 сент. 2021 г.","148,12","150,35","151,07","146,91","109,30M","-0,96%"
"13 сент. 2021 г.","149,55","150,63","151,42","148,75","102,40M","0,39%"
"10 сент. 2021 г.","148,97","155,00","155,48","148,70","140,89M","-3,31%"
"09 сент. 2021 г.","154,07","155,49","156,11","153,95","57,31M","-0,67%"
"08 сент. 2021 г.","155,11","156,98","157,04","153,97","74,42M","-1,01%"
"07 сент. 2021 г.","156,69","154,97","157,26","154,39","82,28M","1,55%"
"03 сент. 2021 г.","154,30","153,76","154,63","153,09","57,87M","0,42%"
"02 сент. 2021 г.","153,65","153,87","154,72","152,40","71,17M","0,75%"
"01 сент. 2021 г.","152,51","152,83","154,98","152,34","80,31M","0,45%"
"31 авг. 2021 г.","151,83","152,66","152,80","151,29","86,45M","-0,84%"
"30 авг. 2021 г.","153,12","149,00","153,49","148,61","90,96M","3,04%"
"27 авг. 2021 г.","148,60","147,48","148,75","146,83","55,80M","0,72%"
"26 авг. 2021 г.","147,54","148,35","149,12","147,51","48,60M","-0,55%"
"25 авг. 2021 г.","148,36","149,81","150,32","147,80","58,99M","-0,84%"
"24 авг. 2021 г.","149,62","149,45","150,86","149,15","48,61M","-0,06%"
"23 авг. 2021 г.","149,71","148,31","150,19","147,89","60,13M","1,03%"
"20 авг. 2021 г.","148,19","147,44","148,50","146,78","60,55M","1,02%"
"19 авг. 2021 г.","146,70","145,03","148,00","144,50","86,96M","0,23%"
"18 авг. 2021 г.","146,36","149,80","150,72","146,15","86,33M","-2,55%"
"17 авг. 2021 г.","150,19","150,23","151,68","149,09","92,23M","-0,62%"
"16 авг. 2021 г.","151,12","148,53","151,19","146,47","103,56M","1,35%"
"13 авг. 2021 г.","149,10","148,97","149,44","148,27","59,38M","0,14%"
"12 авг. 2021 г.","148,89","146,19","149,05","145,84","73,78M","2,08%"
"11 авг. 2021 г.","145,86","146,05","146,72","145,53","48,49M","0,18%"
"10 авг. 2021 г.","145,60","146,44","147,71","145,30","69,02M","-0,34%"
"09 авг. 2021 г.","146,09","146,20","146,70","145,52","48,91M","-0,03%"
"06 авг. 2021 г.","146,14","146,35","147,11","145,63","54,13M","-0,63%"
"05 авг. 2021 г.","147,06","146,98","147,84","146,17","46,40M","0,07%"
"04 авг. 2021 г.","146,95","147,27","147,79","146,28","56,37M","-0,28%"
"03 авг. 2021 г.","147,36","145,81","148,04","145,18","64,79M","1,26%"
"02 авг. 2021 г.","145,52","146,36","146,95","145,25","62,88M","-0,23%"
"30 июл. 2021 г.","145,86","144,38","146,33","144,11","70,44M","0,15%"
"29 июл. 2021 г.","145,64","144,69","146,55","144,58","56,70M","0,46%"
"28 июл. 2021 г.","144,98","144,81","146,97","142,54","118,93M","-1,22%"
"27 июл. 2021 г.","146,77","149,12","149,21","145,55","104,82M","-1,49%"
"26 июл. 2021 г.","148,99","148,27","149,83","147,70","72,43M","0,29%"
"23 июл. 2021 г.","148,56","147,55","148,72","146,92","71,45M","1,20%"
"22 июл. 2021 г.","146,80","145,94","148,19","145,81","77,34M","0,96%"
"21 июл. 2021 г.","145,40","145,53","146,13","144,63","74,99M","-0,51%"
"20 июл. 2021 г.","146,15","143,46","147,10","142,96","96,35M","2,60%"
"19 июл. 2021 г.","142,45","143,75","144,07","141,67","121,43M","-2,69%"
"16 июл. 2021 г.","146,39","148,46","149,76","145,88","93,25M","-1,41%"
"15 июл. 2021 г.","148,48","149,24","150,00","147,09","106,82M","-0,45%"
"14 июл. 2021 г.","149,15","148,10","149,57","147,68","127,05M","2,41%"
"13 июл. 2021 г.","145,64","144,03","147,46","143,63","100,83M","0,79%"
"12 июл. 2021 г.","144,50","146,21","146,32","144,00","76,30M","-0,42%"
"09 июл. 2021 г.","145,11","142,75","145,65","142,65","99,89M","1,31%"
"08 июл. 2021 г.","143,24","141,58","144,06","140,66","105,58M","-0,92%"
"07 июл. 2021 г.","144,57","143,53","144,89","142,66","104,91M","1,80%"
"06 июл. 2021 г.","142,02","140,07","143,15","140,07","108,18M","1,47%"
"02 июл. 2021 г.","139,96","137,90","140,00","137,75","78,95M","1,96%"
"01 июл. 2021 г.","137,27","136,60","137,33","135,76","52,49M","0,23%"
"30 июн. 2021 г.","136,96","136,17","137,41","135,87","63,26M","0,46%"
"29 июн. 2021 г.","136,33","134,80","136,49","134,35","64,56M","1,15%"
"28 июн. 2021 г.","134,78","133,41","135,25","133,35","62,11M","1,25%"
"25 июн. 2021 г.","133,11","133,46","133,89","132,81","70,78M","-0,22%"
"24 июн. 2021 г.","133,41","134,45","134,64","132,93","68,71M","-0,22%"
"23 июн. 2021 г.","133,70","133,77","134,32","133,23","60,21M","-0,21%"
"22 июн. 2021 г.","133,98","132,13","134,08","131,62","74,78M","1,27%"
"21 июн. 2021 г.","132,30","130,30","132,41","129,21","79,66M","1,41%"
"18 июн. 2021 г.","130,46","130,71","131,51","130,24","108,95M","-1,01%"
"17 июн. 2021 г.","131,79","129,80","132,55","129,65","96,72M","1,26%"
"16 июн. 2021 г.","130,15","130,37","130,89","128,46","91,82M","0,39%"
"15 июн. 2021 г.","129,64","129,94","130,60","129,39","62,75M","-0,64%"
"14 июн. 2021 г.","130,48","127,82","130,54","127,07","96,91M","2,46%"
"11 июн. 2021 г.","127,35","126,53","127,44","126,10","53,52M","0,98%"
"10 июн. 2021 г.","126,11","127,02","128,19","125,94","71,19M","-0,80%"
"09 июн. 2021 г.","127,13","127,21","127,75","126,52","56,88M","0,31%"
"08 июн. 2021 г.","126,74","126,60","128,46","126,21","74,40M","0,67%"
"07 июн. 2021 г.","125,90","126,17","126,32","124,83","71,06M","0,01%"
"04 июн. 2021 г.","125,89","124,07","126,16","123,85","75,17M","1,90%"
"03 июн. 2021 г.","123,54","124,68","124,85","123,13","76,23M","-1,22%"
"02 июн. 2021 г.","125,06","124,28","125,24","124,05","59,28M","0,63%"
"01 июн. 2021 г.","124,28","125,08","125,35","123,94","67,64M","-0,26%"
"28 мая 2021 г.","124,61","125,57","125,80","124,55","71,31M","-0,53%"
"27 мая 2021 г.","125,28","126,44","127,64","125,08","94,63M","-1,24%"
"26 мая 2021 г.","126,85","126,95","127,39","126,42","56,58M","-0,04%"
"25 мая 2021 г.","126,90","127,82","128,32","126,32","72,01M","-0,16%"
"24 мая 2021 г.","127,10","126,01","127,94","125,94","63,09M","1,33%"
"21 мая 2021 г.","125,43","127,82","128,00","125,21","79,30M","-1,48%"
"20 мая 2021 г.","127,31","125,23","127,72","125,10","76,86M","2,10%"
"19 мая 2021 г.","124,69","123,16","124,92","122,86","92,61M","-0,13%"
"18 мая 2021 г.","124,85","126,56","126,99","124,78","63,34M","-1,12%"
"17 мая 2021 г.","126,27","126,82","126,93","125,17","74,24M","-0,93%"
"14 мая 2021 г.","127,45","126,25","127,89","125,85","81,92M","1,98%"
"13 мая 2021 г.","124,97","124,58","126,15","124,26","105,86M","1,79%"
"12 мая 2021 г.","122,77","123,40","124,64","122,25","112,17M","-2,49%"
"11 мая 2021 г.","125,91","123,50","126,27","122,77","126,14M","-0,74%"
"10 мая 2021 г.","126,85","129,41","129,54","126,81","88,07M","-2,58%"
"07 мая 2021 г.","130,21","130,85","131,26","129,47","78,97M","0,36%"
"06 мая 2021 г.","129,74","127,89","129,75","127,13","78,13M","1,28%"
"05 мая 2021 г.","128,10","129,20","130,45","127,97","84,00M","0,20%"
"04 мая 2021 г.","127,85","131,19","131,49","126,70","137,56M","-3,54%"
"03 мая 2021 г.","132,54","132,04","134,07","131,83","75,14M","0,82%"
"30 апр. 2021 г.","131,46","131,78","133,56","131,06","109,84M","-1,51%"
"29 апр. 2021 г.","133,48","136,47","137,07","132,45","151,10M","-0,07%"
"28 апр. 2021 г.","133,58","134,31","135,02","133,08","107,76M","-0,60%"
"27 апр. 2021 г.","134,39","135,01","135,41","134,11","66,02M","-0,24%"
"26 апр. 2021 г.","134,72","134,83","135,06","133,56","66,91M","0,30%"
"23 апр. 2021 г.","134,32","132,16","135,12","132,16","78,76M","1,80%"
"22 апр. 2021 г.","131,94","133,04","134,15","131,41","84,57M","-1,17%"
"21 апр. 2021 г.","133,50","132,36","133,75","131,30","68,85M","0,29%"
"20 апр. 2021 г.","133,11","135,02","135,53","131,81","94,81M","-1,28%"
"19 апр. 2021 г.","134,84","133,51","135,47","133,34","94,26M","0,51%"
"16 апр. 2021 г.","134,16","134,30","134,67","133,28","84,92M","-0,25%"
"15 апр. 2021 г.","134,50","133,82","135,00","133,64","89,35M","1,87%"
"14 апр. 2021 г.","132,03","134,94","135,00","131,66","87,22M","-1,79%"
"13 апр. 2021 г.","134,43","132,44","134,66","131,93","91,27M","2,43%"
"12 апр. 2021 г.","131,24","132,52","132,85","130,63","91,42M","-1,32%"
"09 апр. 2021 г.","133,00","129,80","133,04","129,47","106,69M","2,03%"
"08 апр. 2021 г.","130,36","128,95","130,39","128,52","88,84M","1,92%"
"07 апр. 2021 г.","127,90","125,83","127,92","125,14","83,47M","1,34%"
"06 апр. 2021 г.","126,21","126,50","127,13","125,65","80,17M","0,25%"
"05 апр. 2021 г.","125,90","123,87","126,16","123,07","88,65M","2,36%"
"01 апр. 2021 г.","123,00","123,66","124,18","122,49","75,09M","0,70%"
"31 мар. 2021 г.","122,15","121,65","123,52","121,15","118,32M","1,88%"
"30 мар. 2021 г.","119,90","120,11","120,40","118,86","85,67M","-1,23%"
"29 мар. 2021 г.","121,39","121,65","122,58","120,73","80,82M","0,15%"
"26 мар. 2021 г.","121,21","120,35","121,48","118,92","94,07M","0,51%"
"25 мар. 2021 г.","120,59","119,54","121,66","119,00","98,84M","0,42%"
"24 мар. 2021 г.","120,09","122,82","122,90","120,06","88,53M","-2,00%"
"23 мар. 2021 г.","122,54","123,33","124,24","122,14","95,47M","-0,69%"
"22 мар. 2021 г.","123,39","120,33","123,87","120,26","111,91M","2,83%"
"19 мар. 2021 г.","119,99","119,90","121,43","119,67","185,55M","-0,45%"
"18 мар. 2021 г.","120,53","122,88","123,18","120,32","121,47M","-3,39%"
"17 мар. 2021 г.","124,76","124,05","125,86","122,34","111,93M","-0,65%"
"16 мар. 2021 г.","125,57","125,70","127,22","124,72","115,23M","1,27%"
"15 мар. 2021 г.","123,99","121,41","124,00","120,42","92,59M","2,45%"
"12 мар. 2021 г.","121,03","120,40","121,17","119,16","88,11M","-0,76%"
"11 мар. 2021 г.","121,96","122,54","123,21","121,26","103,03M","1,65%"
"10 мар. 2021 г.","119,98","121,69","122,17","119,45","111,94M","-0,91%"
"09 мар. 2021 г.","121,08","119,03","122,06","118,79","129,53M","4,06%"
"08 мар. 2021 г.","116,36","120,93","121,00","116,21","154,38M","-4,17%"
"05 мар. 2021 г.","121,42","120,98","121,94","117,57","153,77M","1,07%"
"04 мар. 2021 г.","120,13","121,75","123,60","118,62","178,15M","-1,58%"
"03 мар. 2021 г.","122,06","124,81","125,71","121,84","112,97M","-2,45%"
"02 мар. 2021 г.","125,12","128,41","128,72","125,01","102,26M","-2,09%"
"01 мар. 2021 г.","127,79","123,75","127,93","122,79","116,31M","5,39%"
"26 февр. 2021 г.","121,26","122,59","124,85","121,20","164,56M","0,22%"
"25 февр. 2021 г.","120,99","124,68","126,46","120,54","148,20M","-3,48%"
"24 февр. 2021 г.","125,35","124,94","125,56","122,23","111,04M","-0,41%"
"23 февр. 2021 г.","125,86","123,76","126,71","118,39","158,27M","-0,11%"
"22 февр. 2021 г.","126,00","128,01","129,72","125,60","103,92M","-2,98%"
"19 февр. 2021 г.","129,87","130,24","130,71","128,80","87,67M","0,12%"
"18 февр. 2021 г.","129,71","129,20","130,00","127,41","96,86M","-0,86%"
"17 февр. 2021 г.","130,84","131,25","132,22","129,47","98,09M","-1,76%"
"16 февр. 2021 г.","133,19","135,49","136,01","132,79","80,58M","-1,61%"
"12 февр. 2021 г.","135,37","134,35","135,53","133,69","60,15M","0,18%"
"11 февр. 2021 г.","135,13","135,90","136,39","133,77","64,28M","-0,19%"
"10 февр. 2021 г.","135,39","136,48","136,99","134,40","73,05M","-0,46%"
"09 февр. 2021 г.","136,01","136,62","137,88","135,85","76,77M","-0,66%"
"08 февр. 2021 г.","136,91","136,03","136,96","134,92","71,30M","0,11%"
"05 февр. 2021 г.","136,76","137,35","137,42","135,86","75,69M","-0,46%"
"04 февр. 2021 г.","137,39","136,30","137,40","134,59","84,18M","2,58%"
"03 февр. 2021 г.","133,94","135,76","135,77","133,61","89,88M","-0,78%"
"02 февр. 2021 г.","134,99","135,73","136,31","134,61","83,31M","0,63%"
"01 февр. 2021 г.","134,14","133,75","135,38","130,93","106,24M","1,65%"
"29 янв. 2021 г.","131,96","135,83","136,74","130,21","177,52M","-3,74%"
"28 янв. 2021 г.","137,09","139,52","141,99","136,70","142,62M","-3,50%"
"27 янв. 2021 г.","142,06","143,43","144,30","140,41","140,84M","-0,77%"
"26 янв. 2021 г.","143,16","143,60","144,30","141,37","98,39M","0,17%"
"25 янв. 2021 г.","142,92","143,07","145,09","136,54","157,61M","2,77%"
"22 янв. 2021 г.","139,07","136,28","139,85","135,02","114,46M","1,61%"
"21 янв. 2021 г.","136,87","133,80","139,67","133,59","120,53M","3,67%"
"20 янв. 2021 г.","132,03","128,66","132,49","128,55","104,32M","3,29%"
"19 янв. 2021 г.","127,83","127,78","128,71","126,94","90,76M","0,54%"
"15 янв. 2021 г.","127,14","128,78","130,22","127,00","111,60M","-1,37%"
"14 янв. 2021 г.","128,91","130,80","131,00","128,76","90,22M","-1,51%"
"13 янв. 2021 г.","130,89","128,76","131,45","128,49","88,64M","1,62%"
"12 янв. 2021 г.","128,80","128,50","129,69","126,86","91,95M","-0,14%"
"11 янв. 2021 г.","128,98","129,19","130,17","128,50","100,62M","-2,32%"
"08 янв. 2021 г.","132,05","132,43","132,63","130,23","105,16M","0,86%"
"07 янв. 2021 г.","130,92","128,36","131,63","127,86","109,58M","3,41%"
"06 янв. 2021 г.","126,60","127,72","131,05","126,38","155,09M","-3,37%"
"05 янв. 2021 г.","131,01","128,89","131,74","128,43","97,66M","1,24%"
"04 янв. 2021 г.","129,41","133,52","133,61","126,76","143,30M","-2,47%"
